Date,Open,High,Low,Close,Adj Close,Volume
19-Feb-16,59.87,60.11,56.92,57.84,57.84,"819,700"
18-Feb-16,56.53,61,56.13,59.96,59.96,"1,682,800"
17-Feb-16,55.61,57.9,53.57,53.65,53.65,"1,571,700"
16-Feb-16,53,55.48,51.4,55.19,55.19,"1,090,200"
12-Feb-16,49,51.9,48.95,51.31,51.31,"781,800"
11-Feb-16,48.43,49.45,46.6,48.88,48.88,"485,400"
10-Feb-16,50.14,50.47,48.82,49.33,49.33,"400,300"
9-Feb-16,47.45,50,46.43,49.44,49.44,"532,700"
8-Feb-16,47.21,48.15,45.59,47.84,47.84,"754,300"
5-Feb-16,47.42,52.54,47,47.37,47.37,"863,300"
4-Feb-16,47.84,47.98,46.64,47.96,47.96,"881,700"
3-Feb-16,46.34,48.2,45.13,47.97,47.97,"476,600"
2-Feb-16,47.55,47.61,45,46,46,"544,500"
1-Feb-16,46.98,49.53,46,48.94,48.94,"518,900"
29-Jan-16,44.86,47.76,44.85,47.1,47.1,"738,500"
28-Jan-16,50.08,50.61,44.07,44.57,44.57,"1,714,800"
27-Jan-16,50.87,53.61,49.58,49.71,49.71,"665,000"
26-Jan-16,49.58,51.19,48.84,51.06,51.06,"429,500"
25-Jan-16,49.39,50.02,48.49,49.22,49.22,"309,500"
22-Jan-16,48.58,51.08,47.5,49.45,49.45,"577,700"
21-Jan-16,47.5,48.52,47.17,47.83,47.83,"658,200"
20-Jan-16,46.01,48.65,44.21,47.5,47.5,"829,000"
19-Jan-16,47.18,48.64,45.95,47.13,47.13,"1,002,800"
15-Jan-16,44.75,47.61,43.64,46.58,46.58,"1,022,200"
14-Jan-16,44.5,46.51,42.9,45.99,45.99,"498,300"
13-Jan-16,44.4,46.76,44.27,44.59,44.59,"449,600"
12-Jan-16,45.22,45.48,42.61,44.12,44.12,"959,900"
11-Jan-16,45.53,46.67,44.39,45,45,"614,500"
8-Jan-16,46.32,47.14,45.28,45.32,45.32,"379,700"
7-Jan-16,46.77,47.1,45.73,45.96,45.96,"962,700"
6-Jan-16,46.73,48.06,46.73,47.48,47.48,"300,200"
5-Jan-16,47.28,47.85,46.51,47.5,47.5,"553,100"
4-Jan-16,47.27,48.29,46.5,47.25,47.25,"471,300"
31-Dec-15,48,48.75,47.59,48.26,48.26,"203,600"
30-Dec-15,48.95,49.66,48.02,48.2,48.2,"252,300"
29-Dec-15,49.59,49.71,47.96,49.47,49.47,"315,300"
28-Dec-15,53.2,53.2,48.75,48.98,48.98,"523,800"
24-Dec-15,52.55,53.83,52.17,53.44,53.44,"309,100"
23-Dec-15,51.64,53.18,50.81,52.52,52.52,"748,900"
22-Dec-15,50.77,51.72,50.15,51.32,51.32,"606,000"
21-Dec-15,49.8,52.66,49.43,50.95,50.95,"703,500"
18-Dec-15,48.63,50.31,48.5,49.3,49.3,"772,200"
17-Dec-15,49.56,49.88,48.56,48.63,48.63,"400,500"
16-Dec-15,48.46,50.94,48.07,49.45,49.45,"862,800"
15-Dec-15,47.07,48.13,46.62,48,48,"838,000"
14-Dec-15,47.77,48.28,45.65,46.61,46.61,"943,000"
11-Dec-15,49.44,49.52,47.39,47.78,47.78,"592,400"
10-Dec-15,48.51,50.23,47.91,49.72,49.72,"569,500"
9-Dec-15,49.78,51.87,47.82,48.58,48.58,"844,700"
*Close price adjusted for dividends and splits.,,,,,,
